Unnamed: 0,Efficacy,Coverage,Median Infected Passengers,Median Infected Crew,Percentage Averted,Total infections averted
0,0.0,0.0,996.0172956572094,447.1541079164193,0.0,0.0
1,0.0,0.0204081632653061,996.0172957313782,447.15410808800874,-1.70290448409105e-10,-2.457584287185455e-07
2,0.0,0.0408163265306122,996.0172957387584,447.1541269291363,-1.323076803672052e-08,-1.9094266008323757e-05
3,0.0,0.0612244897959183,996.017295642128,447.1540969848103,7.585162942191914e-09,1.0946690281343763e-05
4,0.0,0.0816326530612244,996.0172958103268,447.1541042281214,2.4495915296185444e-09,3.5351804399397224e-06
5,0.0,0.1020408163265306,996.0172956592652,447.1541006443858,5.037501193960736e-09,7.269977686519269e-06
6,0.0,0.1224489795918367,996.0172959073642,447.15411135080194,-2.553083966461145e-09,-3.6845376598648727e-06
7,0.0,0.1428571428571428,996.0172957069544,447.1541003669383,5.196704844223632e-09,7.499735829696874e-06
8,0.0,0.1632653061224489,996.0172956774068,447.1540967183778,7.745333707731561e-09,1.1177844044141239e-05
9,0.0,0.183673469387755,996.0172957629568,447.15409865912466,6.341275282650827e-09,9.151547146757366e-06
10,0.0,0.2040816326530612,996.0172956556612,447.1541116399644,-2.5790400925984613e-09,-3.7219970181467943e-06
11,0.0,0.2244897959183673,996.0172956090385,447.1541025793132,3.731557285391318e-09,5.3852768360229675e-06
12,0.0,0.2448979591836734,996.0172956609428,447.154109017068,-7.652467548524555e-10,-1.104382135963533e-06
13,0.0,0.2653061224489795,996.0172956818265,447.1540976244599,7.11443026712999e-09,1.0267342304359772e-05
14,0.0,0.2857142857142857,996.0172957246244,447.1540953271059,8.676653506789478e-09,1.2521898270279053e-05
15,0.0,0.3061224489795918,996.0172957520722,447.1541060668621,1.215859968262123e-09,1.7546942672197474e-06
16,0.0,0.3265306122448979,996.017295598378,447.15410227846667,3.947406179705126e-09,5.696783773601055e-06
17,0.0,0.3469387755102041,996.0172958233006,447.1541072714622,3.3181490888267717e-10,4.788657861354295e-07
18,0.0,0.3673469387755101,996.0172955812018,447.15411881614807,-7.499955545497983e-09,-1.0823721368069528e-05
19,0.0,0.3877551020408163,996.0172958026734,447.15410275439217,3.476068877183991e-09,5.0165631364507135e-06
20,0.0,0.4081632653061224,996.0172957445257,447.1541084724315,-4.457743063568387e-10,-6.433285761886509e-07
21,0.0,0.4285714285714285,996.017295529232,447.1541104611432,-1.6746082298624287e-09,-2.4167466108337976e-06
22,0.0,0.4489795918367346,996.0172957331142,447.1541157683678,-5.493355326180449e-09,-7.927853403089102e-06
23,0.0,0.4693877551020408,996.0172957246696,447.1541113921441,-2.4551380928272692e-09,-3.5431851301837014e-06
24,0.0,0.4897959183673469,996.01729569183,447.1541124323485,-3.153159733315647e-09,-4.550549874693388e-06
25,0.0,0.5102040816326531,996.0172957847806,447.15411755355,-6.7661416469633195e-09,-9.764702099346323e-06
26,0.0,0.5306122448979591,996.0172957269656,447.15409996873694,5.458759777532407e-09,7.877926009314251e-06
27,0.0,0.5510204081632653,996.0172956416264,447.1541072800982,4.517162199846325e-10,6.519039743579924e-07
28,0.0,0.5714285714285714,996.0172957252528,447.1541148798038,-4.872205749961722e-09,-7.031427912806976e-06
29,0.0,0.5918367346938775,996.0172959506532,447.1541196226977,-8.314828159328158e-09,-1.1999722346445196e-05
30,0.0,0.6122448979591836,996.017295788251,447.1541072520498,3.6955261073501333e-10,5.333276931196451e-07
31,0.0,0.6326530612244897,996.0172957719732,447.1541170683174,-6.421040366078046e-09,-9.266661891160766e-06
32,0.0,0.6530612244897959,996.0172957272532,447.15410055595703,5.051664975219694e-09,7.29041835256794e-06
33,0.0,0.673469387755102,996.0172956242486,447.1540995364654,5.829463245454747e-09,8.412914667133009e-06
34,0.0,0.6938775510204082,996.0172956822736,447.1540987656391,6.3233763780701224e-09,9.125715905611287e-06
35,0.0,0.7142857142857142,996.0172956914762,447.1541092143427,-9.2309915267208e-10,-1.3321903225005371e-06
36,0.0,0.7346938775510203,996.0172956814164,447.1541113581543,-2.4016149069439052e-09,-3.465941972535802e-06
37,0.0,0.7551020408163265,996.0172955837828,447.1540877923517,1.3995214986906035e-08,2.019749399551074e-05
38,0.0,0.7755102040816326,996.0172956948476,447.1540999792065,5.473760444907327e-09,7.899574484326877e-06
39,0.0,0.7959183673469387,996.0172955204316,447.1541055606596,1.7271248875516676e-09,2.4925373054429656e-06
40,0.0,0.8163265306122448,996.0172955495186,447.1540922283026,1.0945205408674497e-08,1.579580748511944e-05
41,0.0,0.836734693877551,996.017295574937,447.1541113557238,-2.3261492732018496e-09,-3.3570322557352483e-06
42,0.0,0.8571428571428571,996.0172956696066,447.1541002461132,5.306305839170022e-09,7.65790878176631e-06
43,0.0,0.8775510204081632,996.0172955795888,447.1541172044293,-6.382048223230186e-09,-9.210389634972671e-06
44,0.0,0.8979591836734693,996.0172958438342,447.1541081201542,-2.704874102477106e-10,-3.9035967347444966e-07
45,0.0,0.9183673469387754,996.0172957379036,447.1541157594299,-5.4904809587696946e-09,-7.92370497038064e-06
46,0.0,0.9387755102040816,996.0172957401088,447.1540991699948,6.003115782249324e-09,8.663525022711838e-06
47,0.0,0.9591836734693876,996.0172957999788,447.1541200970039,-8.539078555358515e-09,-1.2323353985266294e-05
48,0.0,0.979591836734694,996.0172956537644,447.1541001322929,5.3961511925493255e-09,7.787571121298242e-06
49,0.0,1.0,996.0172957057912,447.15411128766993,-2.3696646866966375e-09,-3.419832410145318e-06
50,0.0204081632653061,0.0,996.0172956572094,447.1541079164193,0.0,0.0
51,0.0204081632653061,0.0204081632653061,994.7122402337476,446.47994597901334,0.001371436099666723,1.9792173608675512
52,0.0204081632653061,0.0408163265306122,993.4078992975452,445.8060917110959,0.0027421639281293153,3.9574125649874077
53,0.0204081632653061,0.0612244897959183,992.1042855597568,445.1325706252859,0.004112156999432459,5.934547388585997
54,0.0204081632653061,0.0816326530612244,990.8014050821192,444.4593401818351,0.005481440589860442,7.910658309674318
55,0.0204081632653061,0.1020408163265306,989.499278607623,443.7864171088329,0.0068499887350133015,9.885707857172747
56,0.0204081632653061,0.1224489795918367,988.1979043906026,443.1138123072807,0.008217795090990632,11.85968687574541
57,0.0204081632653061,0.1428571428571428,986.8972420423552,442.44152233868624,0.009584890026461346,13.832639192587067
58,0.0204081632653061,0.1632653061224489,985.5973149097044,441.7695394516202,0.010951262735090395,15.804549212303982
59,0.0204081632653061,0.183673469387755,984.29817481999,441.09789104783,0.012316858317586332,17.775337705808624
60,0.0204081632653061,0.2040816326530612,982.9997272879953,440.42653716448046,0.013681769935476429,19.745139121152988
61,0.0204081632653061,0.2244897959183673,981.7020452885654,439.7555223338451,0.015045916165917439,21.713835951218243
62,0.0204081632653061,0.2448979591836734,980.4050881830962,439.0848230216807,0.016409341475455252,23.68149236885165
63,0.0204081632653061,0.2653061224489795,979.1088729885464,438.4144439357468,0.017772030810633166,25.648086649335255
64,0.0204081632653061,0.2857142857142857,977.813412578026,437.7443991244684,0.019133965517024953,27.613591871134304
65,0.0204081632653061,0.3061224489795918,976.518690381821,437.0746839594224,0.02049516028320897,29.578029232385234
66,0.0204081632653061,0.3265306122448979,975.2247449362025,436.4052748704901,0.02185560473886361,31.54138376693618
67,0.0204081632653061,0.3469387755102041,973.9315324340304,435.7362111235208,0.023215302030732188,33.50366001607745
68,0.0204081632653061,0.3673469387755101,972.6390594533524,435.06748280069223,0.02457425447300632,35.46486131958409
69,0.0204081632653061,0.3877551020408163,971.3473607451554,434.3990679830125,0.025932453174160708,37.42497484546084
70,0.0204081632653061,0.4081632653061224,970.0564084934628,433.7310045787601,0.027289891141053402,39.383990501405606
71,0.0204081632653061,0.4285714285714285,968.7662418566968,433.06326170685327,0.028646562638163675,41.34190001007846
72,0.0204081632653061,0.4489795918367346,967.476823979846,432.3958759280184,0.030002467869406524,43.29870366576415
73,0.0204081632653061,0.4693877551020408,966.1881670444866,431.72881350128966,0.03135762177367962,45.254423027852226
74,0.0204081632653061,0.4897959183673469,964.9002591545112,431.0621055637014,0.032712011018591114,47.20903885541611
75,0.0204081632653061,0.5102040816326531,963.613101759267,430.3957292042819,0.03406565047529464,49.16257261007968
76,0.0204081632653061,0.5306122448979591,962.3267056576996,429.7296817346584,0.03541853452382582,51.115016181270676
77,0.0204081632653061,0.5510204081632653,961.0411359482888,429.0640171708752,0.03677058062754024,53.06625045446458
78,0.0204081632653061,0.5714285714285714,959.7562704870118,428.3986736360828,0.038121916297884306,55.01645945053406
79,0.0204081632653061,0.5918367346938775,958.4721653818372,427.7336768383098,0.03947248484304888,56.96556135348169
80,0.0204081632653061,0.6122448979591836,957.1888739892916,427.06902708973314,0.04082224907500276,58.91350249460402
81,0.0204081632653061,0.6326530612244897,955.9063318067264,426.4047476799534,0.042171237551024365,60.86032408694882
82,0.0204081632653061,0.6530612244897959,954.6245398588146,425.7408132328244,0.043519467144697566,62.80605048198959
83,0.0204081632653061,0.673469387755102,953.343551541029,425.07721198069754,0.044866909011337386,64.75064005190211
84,0.0204081632653061,0.6938775510204082,952.0633544104994,424.413995452146,0.04621353606774159,66.6940537109831
85,0.0204081632653061,0.7142857142857142,950.78388093431,423.7511067522306,0.04755943453225864,68.63641588708788
86,0.0204081632653061,0.7346938775510203,949.505213535257,423.08859434828344,0.048904513708712405,70.57759569008817
87,0.0204081632653061,0.7551020408163265,948.227316585836,422.42643584203546,0.05024881380422763,72.5176511457571
88,0.0204081632653061,0.7755102040816326,946.9502151906916,421.7646496649406,0.0515923046518415,74.45653871799641
89,0.0204081632653061,0.7959183673469387,945.6738914908008,421.1032037799832,0.05293502082543655,76.39430830284459
90,0.0204081632653061,0.8163265306122448,944.3983607097346,420.4421396878666,0.05427692301972031,78.3309031760275
91,0.0204081632653061,0.836734693877551,943.1235741433192,419.78143504050615,0.05561806046810858,80.26639438980328
