Efficacy,Passenger Coverage,Crew Coverage,Median Percentage Infections Averted,2.5th Percentile Percentage Infections Averted,97.5th Percentile Percentage Infections Averted
0.0,1.0,1.0,7.566146403969243e-09,-1.1740896698150505e-06,1.699809242187661e-06
0.0,1.0,0.0,1.1415673101200419e-08,-1.3424110083666382e-06,1.6536529086207115e-06
0.0,0.0,1.0,9.72516735516473e-10,-1.4202647512223857e-06,1.416387366875444e-06
0.0,0.5,0.5,9.439497243516587e-08,-2.206870297098319e-06,2.24609702608837e-06
0.010101010101010102,1.0,1.0,3.3188920238217854,2.218336538333507,3.7383436553660303
0.010101010101010102,1.0,0.0,2.514119870477539,1.745591684152428,2.7915420921890632
0.010101010101010102,0.0,1.0,0.7994343140366629,0.4673249460893211,1.0802208738933232
0.010101010101010102,0.5,0.5,1.665487894006361,1.1047856807210659,1.8813082099505907
0.020202020202020204,1.0,1.0,6.596615236281382,4.480637886492685,7.386511576806085
0.020202020202020204,1.0,0.0,4.992062197310032,3.5193040072771495,5.535567017179805
0.020202020202020204,0.0,1.0,1.5928825471518349,0.9403206714177265,2.141131213513345
0.020202020202020204,0.5,0.5,3.322362867584383,2.2230199195363647,3.7408682600353167
0.030303030303030304,1.0,1.0,9.829753990238885,6.7831142411726875,10.943961585602324
0.030303030303030304,1.0,0.0,7.444065317379861,5.318770273972499,8.235112992145886
0.030303030303030304,0.0,1.0,2.3798371920559718,1.4186565781910323,3.1825618433284464
0.030303030303030304,0.5,0.5,4.97009140670993,3.3542135901449757,5.5785419711280095
0.04040404040404041,1.0,1.0,13.01509307486057,9.12173627941382,14.410339762357646
0.04040404040404041,1.0,0.0,9.853383156698605,7.141507957312608,10.887603127376686
0.04040404040404041,0.0,1.0,3.1598141447085473,1.9019901362966172,4.204759646471624
0.04040404040404041,0.5,0.5,6.608167126661234,4.497848424528815,7.39419129528972
0.05050505050505051,1.0,1.0,16.14960589224416,11.492244177485873,17.7854524911255
0.05050505050505051,1.0,0.0,12.225934219111931,8.984929705433055,13.488446018379504
0.05050505050505051,0.0,1.0,3.9323525154323464,2.3899628844002483,5.207663729708387
0.05050505050505051,0.5,0.5,8.236079268929043,5.653390211992804,9.187705693929846
0.06060606060606061,1.0,1.0,19.23488967063882,13.890200219543448,21.069295334520632
0.06060606060606061,1.0,0.0,14.569929710525352,10.83974301030501,16.029812794528013
0.06060606060606061,0.0,1.0,4.697006180774561,2.8821976978779476,6.190986939852479
0.06060606060606061,0.5,0.5,9.853345097343027,6.820278636656884,10.958974203409264
0.07070707070707072,1.0,1.0,22.255125217094708,16.31099337588966,24.26200686254263
0.07070707070707072,1.0,0.0,16.865287092414132,12.700122576726185,18.51805491001935
0.07070707070707072,0.0,1.0,5.453352529742602,3.3783194221817143,7.15463801818238
0.07070707070707072,0.5,0.5,11.459481813828235,7.997932932653877,12.707910730874584
0.08080808080808081,1.0,1.0,25.221154478655613,18.749885364356025,27.363907171276672
0.08080808080808081,1.0,0.0,19.119663952599506,14.56883390153434,20.95290971139524
0.08080808080808081,0.0,1.0,6.199477604215566,3.877929964944427,8.09857278963228
0.08080808080808081,0.5,0.5,13.054036637447126,9.185759902795738,14.434437421692206
0.09090909090909091,1.0,1.0,28.12641075489207,21.20204734767078,30.37543490212898
0.09090909090909091,1.0,0.0,21.332181763810087,16.44318604150511,23.33418341164712
0.09090909090909091,0.0,1.0,6.935265513210742,4.380635529066096,9.022757108505518
0.09090909090909091,0.5,0.5,14.63655840111866,10.383139513921543,16.138486115457454
0.10101010101010102,1.0,1.0,30.977615566129842,23.662581936757668,33.297190694398566
0.10101010101010102,1.0,0.0,23.502041765797077,18.320457296865175,25.662766343714356
0.10101010101010102,0.0,1.0,7.661220335445249,4.886023339467299,9.927191913159554
0.10101010101010102,0.5,0.5,16.20802672221904,11.589440693076845,17.820012616461728
0.11111111111111112,1.0,1.0,33.75473937138537,26.126565144971597,36.12989152088878
0.11111111111111112,1.0,0.0,25.6366655438552,20.197944459510843,27.940166102165964
0.11111111111111112,0.0,1.0,8.37704803713092,5.393681355378005,10.811897449719096
0.11111111111111112,0.5,0.5,17.769259529211016,12.804014711719146,19.4789755542273
0.12121212121212122,1.0,1.0,36.46540596633467,28.589080139382915,38.87438877463474
0.12121212121212122,1.0,0.0,27.712575831640784,22.072974834437737,30.164239056174925
0.12121212121212122,0.0,1.0,9.082509200735217,5.903190024072761,11.677124598862676
0.12121212121212122,0.5,0.5,19.307712520151565,14.026197167510489,21.115350336419223
0.13131313131313133,1.0,1.0,39.10874818813899,31.04525790174369,41.531642317955296
0.13131313131313133,1.0,0.0,29.77562454929825,23.942902188093086,32.33503277707084
0.13131313131313133,0.0,1.0,9.768594627785296,6.4141306580674415,12.533737025234402
0.13131313131313133,0.5,0.5,20.83795439671288,15.255320868945939,22.72911283850376
0.14141414141414144,1.0,1.0,41.68152369239178,33.49029322298648,44.10432237992363
0.14141414141414144,1.0,0.0,31.81779514266057,25.805126445643673,34.46075710718883
0.14141414141414144,0.0,1.0,10.438015826816997,6.9260766159668705,13.371875749278983
0.14141414141414144,0.5,0.5,22.35417201831747,16.490689879284574,24.320271408276763
0.15151515151515152,1.0,1.0,44.189016219622445,35.919494642714035,46.61314402984994
0.15151515151515152,1.0,0.0,33.808355797669265,27.676417928983447,36.552311379879164
0.15151515151515152,0.0,1.0,11.098587855475532,7.438607698141781,14.19153268177497
0.15151515151515152,0.5,0.5,23.856004902132945,17.73161778290507,25.888834136875996
0.16161616161616163,1.0,1.0,46.627048166045896,38.32831070617394,49.04617408647782
